downbox,targettest,corrAns,upbox,rightbox,leftbox,task1.thisRepN,task1.thisTrialN,task1.thisN,task1.thisIndex,task2.thisRepN,task2.thisTrialN,task2.thisN,task2.thisIndex,start.keys,start.rt,answer1.keys,answer1.corr,answer1.rt,answer2.keys,answer2.corr,answer2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,return,4.29965767432,,,,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,green,up,yellow,blue,red,0,0,0,24,,,,,,,up,1,0.43687506155,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,green,right,yellow,red,green,0,1,1,37,,,,,,,right,1,0.83206248414,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,blue,down,blue,red,green,0,2,2,11,,,,,,,up,0,1.12395904411,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,green,right,red,blue,green,0,3,3,38,,,,,,,right,1,0.647511057174,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,red,down,red,green,yellow,0,4,4,4,,,,,,,down,1,0.867563815944,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,blue,down,blue,yellow,red,0,5,5,9,,,,,,,down,1,0.388601077822,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,blue,left,yellow,blue,red,0,6,6,23,,,,,,,down,0,0.520600011485,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,green,left,red,green,yellow,0,7,7,13,,,,,,,left,1,0.598679843846,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
red,yellow,left,blue,yellow,green,0,8,8,18,,,,,,,left,1,0.932364132379,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,blue,up,green,yellow,red,0,9,9,33,,,,,,,up,1,1.02808764384,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
red,yellow,right,green,blue,yellow,0,10,10,42,,,,,,,down,0,0.615005676555,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,blue,left,red,blue,green,0,11,11,22,,,,,,,left,1,0.901615452549,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,yellow,up,blue,green,red,0,12,12,30,,,,,,,up,1,0.660695616298,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,yellow,up,red,blue,green,0,13,13,32,,,,,,,up,1,0.983115975298,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
red,red,up,blue,green,yellow,0,14,14,28,,,,,,,up,1,0.76064630934,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,yellow,down,yellow,green,red,0,15,15,6,,,,,,,down,1,0.802861022701,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,blue,up,yellow,red,green,0,16,16,35,,,,,,,up,1,0.417413729665,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,red,left,blue,red,green,0,17,17,16,,,,,,,left,1,0.837371403311,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,green,left,blue,green,red,0,18,18,14,,,,,,,up,0,0.899297030966,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
red,yellow,down,yellow,blue,green,0,19,19,8,,,,,,,down,1,1.01135664074,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
red,red,up,yellow,blue,green,0,20,20,29,,,,,,,up,1,0.598215646249,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,blue,right,green,red,blue,0,21,21,46,,,,,,,right,1,1.35041785804,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,blue,right,red,yellow,blue,0,22,22,47,,,,,,,right,1,1.30152248471,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,yellow,down,yellow,red,blue,0,23,23,7,,,,,,,down,1,0.793905890754,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,blue,up,red,green,yellow,0,24,24,34,,,,,,,up,1,0.880951441468,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,red,down,red,yellow,blue,0,25,25,3,,,,,,,down,1,1.89549041819,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
green,red,right,blue,yellow,red,0,26,26,41,,,,,,,right,1,1.31609257903,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
blue,yellow,right,red,green,yellow,0,27,27,43,,,,,,,right,1,1.36550540275,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
yellow,yellow,up,green,red,blue,0,28,28,31,,,,,,,up,1,1.11127300818,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
red,green,down,green,yellow,blue,0,29,29,1,,,,,,,up,0,1.06125708046,,,,2015_Dec_16_1736,284.686837863,test1,001,002,
