RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,6.06,18.64,TRUE,325,2097,5,1421.39,148776,1773,7,7,146971,Trial: 7
alcohol_01,2.1,87.49,FALSE,24,2627,6,135.1,149586,2604,7,7,146971,Trial: 7
alcohol_01,1.08,59.91,FALSE,18,3701,7,82.59,150663,3684,7,7,146971,Trial: 7
alcohol_01,3.49,14.89,TRUE,234,523,1,1504.77,151824,290,8,12,151499,Trial: 8
alcohol_01,7.81,181.54,FALSE,43,745,2,337.7,152219,703,8,12,151499,Trial: 8
alcohol_01,1.46,66.34,FALSE,22,882,3,109.84,152371,861,8,12,151499,Trial: 8
alcohol_01,0.47,52.68,FALSE,9,1117,4,45.54,152612,1109,8,12,151499,Trial: 8
alcohol_01,22.94,310.02,FALSE,74,1745,5,489.18,153204,1672,8,12,151499,Trial: 8
alcohol_01,16.4,231.04,FALSE,71,2471,6,364.71,153919,2401,8,12,151499,Trial: 8
alcohol_01,4.6,121,FALSE,38,2730,7,194.6,154206,2693,8,12,151499,Trial: 8
alcohol_01,2.41,104.73,FALSE,23,2951,8,158.73,154440,2929,8,12,151499,Trial: 8
alcohol_01,8.64,176.27,FALSE,49,3320,9,268.13,154792,3272,8,12,151499,Trial: 8
alcohol_01,1.8,81.96,FALSE,22,3694,10,128.36,155182,3673,8,12,151499,Trial: 8
alcohol_01,0.61,55.1,FALSE,11,4009,11,52.38,155503,3999,8,12,151499,Trial: 8
alcohol_01,12.95,647.25,FALSE,20,4209,12,853.24,155700,4190,8,12,151499,Trial: 8
alcohol_01,.,.,TRUE,133,133,1,908.17,155832,1,9,8,155740,Trial: 9
alcohol_01,9.98,212.31,FALSE,47,814,2,345.92,156525,768,9,8,155740,Trial: 9
alcohol_01,2.16,90.01,FALSE,24,983,3,148.75,156711,960,9,8,155740,Trial: 9
